name,PA,S,m,human_r0_accuracy,human_r0_precision,human_r0_recall,human_r0_f1-score,human_r0_support,human_r1_accuracy,human_r1_precision,human_r1_recall,human_r1_f1-score,human_r1_support,human_r2_accuracy,human_r2_precision,human_r2_recall,human_r2_f1-score,human_r2_support,agg_human_mean_f1-score,agg_human_std_f1-score,agg_human_mean_precision,agg_human_std_precision,agg_human_mean_recall,agg_human_std_recall,agg_human_mean_accuracy,agg_human_std_accuracy,model_accuracy,model_precision,model_recall,model_f1-score,model_support,agg_human - model_mean_f1-score,agg_human_mean_f1-score_fmt,agg_human - model_mean_precision,agg_human_mean_precision_fmt,agg_human - model_mean_recall,agg_human_mean_recall_fmt,agg_human - model_mean_accuracy,agg_human_mean_accuracy_fmt
Fracture,0.6,10,0.200,0.7,0.0,0.0,0.0,2.0,0.8,0.5,0.5,0.5,2.0,0.9,1.0,0.5,0.67,2.0,0.38999999999999996,0.34828149534535996,0.5,0.5,0.3333333333333333,0.2886751345948129,0.7999999999999999,0.10000000000000003,0.7,0.0,0.0,0.0,2.0,0.38999999999999996,0.39$\pm$0.35,0.5,0.50$\pm$0.50,0.3333333333333333,0.33$\pm$0.29,0.09999999999999998,0.80$\pm$0.10
Fracture,0.8,21,0.143,0.76,0.25,0.33,0.29,3.0,0.9,0.67,0.67,0.67,3.0,0.86,0.0,0.0,0.0,3.0,0.32,0.3360059523282289,0.3066666666666667,0.33857544703261244,0.3333333333333333,0.3350124375800596,0.84,0.0721110255092798,0.86,0.5,0.33,0.4,3.0,-0.08000000000000002,0.32$\pm$0.34,-0.1933333333333333,0.31$\pm$0.34,0.0033333333333332993,0.33$\pm$0.34,-0.020000000000000018,0.84$\pm$0.07
Fracture,1.0,469,0.000,0.99,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.00$\pm$0.00,0.0,0.00$\pm$0.00,0.0,0.00$\pm$0.00,0.06999999999999995,0.99$\pm$0.00
Fracture,All,500,0.010,0.97,0.09,0.2,0.12,5.0,0.99,0.38,0.6,0.46,5.0,0.99,1.0,0.2,0.33,5.0,0.3033333333333334,0.1715614564327703,0.49,0.4648655719667784,0.3333333333333333,0.23094010767585027,0.9833333333333334,0.011547005383792525,0.91,0.02,0.2,0.04,5.0,0.2633333333333334,0.30$\pm$0.17,0.47,0.49$\pm$0.46,0.1333333333333333,0.33$\pm$0.23,0.07333333333333336,0.98$\pm$0.01
Lung Lesion,0.6,11,0.000,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.0,0.0,0.0,0.0,,nan$\pm$nan,,nan$\pm$nan,,nan$\pm$nan,,nan$\pm$nan
Lung Lesion,0.8,47,0.106,0.91,1.0,0.2,0.33,5.0,0.94,1.0,0.4,0.57,5.0,0.91,0.67,0.4,0.5,5.0,0.4666666666666666,0.12342339054382409,0.89,0.19052558883257648,0.3333333333333333,0.11547005383792516,0.92,0.017320508075688724,0.87,0.0,0.0,0.0,5.0,0.4666666666666666,0.47$\pm$0.12,0.89,0.89$\pm$0.19,0.3333333333333333,0.33$\pm$0.12,0.050000000000000044,0.92$\pm$0.02
Lung Lesion,1.0,442,0.007,1.0,1.0,0.67,0.8,3.0,0.99,0.5,1.0,0.67,3.0,1.0,0.6,1.0,0.75,3.0,0.7400000000000001,0.06557438524302,0.7000000000000001,0.264575131106459,0.89,0.19052558883257648,0.9966666666666667,0.005773502691896262,0.98,0.0,0.0,0.0,3.0,0.7400000000000001,0.74$\pm$0.07,0.7000000000000001,0.70$\pm$0.26,0.89,0.89$\pm$0.19,0.01666666666666672,1.00$\pm$0.01
Lung Lesion,All,500,0.016,0.99,1.0,0.38,0.55,8.0,0.99,0.62,0.62,0.62,8.0,0.99,0.62,0.62,0.62,8.0,0.5966666666666667,0.040414518843273774,0.7466666666666667,0.2193931022920578,0.54,0.13856406460551018,0.9899999999999999,1.3597399555105182e-16,0.97,0.0,0.0,0.0,8.0,0.5966666666666667,0.60$\pm$0.04,0.7466666666666667,0.75$\pm$0.22,0.54,0.54$\pm$0.14,0.019999999999999907,0.99$\pm$0.00
Lung Opacity,0.6,106,0.519,0.59,0.65,0.47,0.55,55.0,0.64,0.64,0.69,0.67,55.0,0.63,0.63,0.69,0.66,55.0,0.6266666666666668,0.06658328118479392,0.64,0.010000000000000009,0.6166666666666666,0.12701705922171766,0.62,0.026457513110645932,0.56,0.54,0.96,0.69,55.0,-0.06333333333333313,0.63$\pm$0.07,0.09999999999999998,0.64$\pm$0.01,-0.3433333333333334,0.62$\pm$0.13,0.05999999999999994,0.62$\pm$0.03
Lung Opacity,0.8,125,0.536,0.83,0.91,0.76,0.83,67.0,0.86,0.87,0.88,0.87,67.0,0.8,0.82,0.81,0.81,67.0,0.8366666666666666,0.030550504633038912,0.8666666666666667,0.04509249752822898,0.8166666666666668,0.06027713773341708,0.8300000000000001,0.02999999999999997,0.6,0.57,1.0,0.73,67.0,0.10666666666666658,0.84$\pm$0.03,0.29666666666666675,0.87$\pm$0.05,-0.18333333333333324,0.82$\pm$0.06,0.2300000000000001,0.83$\pm$0.03
