name,PA,S,m,human_r0_accuracy,human_r0_e_accuracy,human_r0_precision,human_r0_e_precision,human_r0_recall,human_r0_e_recall,human_r0_f1-score,human_r0_e_f1-score,human_r0_support,human_r1_accuracy,human_r1_e_accuracy,human_r1_precision,human_r1_e_precision,human_r1_recall,human_r1_e_recall,human_r1_f1-score,human_r1_e_f1-score,human_r1_support,human_r2_accuracy,human_r2_e_accuracy,human_r2_precision,human_r2_e_precision,human_r2_recall,human_r2_e_recall,human_r2_f1-score,human_r2_e_f1-score,human_r2_support,agg_human_mean_f1-score,agg_human_std_f1-score,agg_human_mean_precision,agg_human_std_precision,agg_human_mean_recall,agg_human_std_recall,agg_human_mean_accuracy,agg_human_std_accuracy,model_accuracy,model_e_accuracy,model_precision,model_e_precision,model_recall,model_e_recall,model_f1-score,model_e_f1-score,model_support,agg_human - model_mean_f1-score,agg_human_mean_f1-score_fmt,E - agg_human_f1-score,E - model_f1-score,agg_human - model_mean_accuracy,agg_human_mean_accuracy_fmt,E - agg_human_accuracy,E - model_accuracy
Lung Opacity,0.8,125,0.536,0.83,0.8,0.91,0.82,0.76,0.8,0.83,0.81,67.0,0.86,0.8,0.87,0.82,0.88,0.8,0.87,0.81,67.0,0.8,0.8,0.82,0.82,0.81,0.8,0.81,0.81,67.0,0.8366666666666666,0.030550504633038912,0.8666666666666667,0.04509249752822898,0.8166666666666668,0.06027713773341708,0.8300000000000001,0.02999999999999997,0.82,0.8,0.84,0.82,0.81,0.8,0.82,0.81,67.0,0.016666666666666607,0.84$\pm$0.03,-0.026666666666666505,-0.009999999999999898,0.01000000000000012,0.83$\pm$0.03,-0.030000000000000027,-0.019999999999999907
Lung Opacity,1.0,269,0.528,0.96,0.97,0.96,0.97,0.95,0.97,0.96,0.97,142.0,0.96,0.97,0.93,0.97,0.99,0.97,0.96,0.97,142.0,0.97,0.97,0.95,0.97,0.99,0.97,0.97,0.97,142.0,0.9633333333333333,0.005773502691896262,0.9466666666666667,0.01527525231651942,0.9766666666666666,0.02309401076758505,0.9633333333333333,0.005773502691896262,0.88,0.97,0.92,0.97,0.85,0.97,0.88,0.97,142.0,0.08333333333333326,0.96$\pm$0.01,0.00666666666666671,0.08999999999999997,0.08333333333333326,0.96$\pm$0.01,0.00666666666666671,0.08999999999999997
Lung Opacity,All,500,0.528,0.85,0.85,0.9,0.86,0.8,0.85,0.85,0.86,264.0,0.87,0.85,0.86,0.86,0.9,0.85,0.88,0.86,264.0,0.85,0.85,0.85,0.86,0.88,0.85,0.86,0.86,264.0,0.8633333333333333,0.01527525231651948,0.87,0.02645751311064593,0.86,0.0529150262212918,0.8566666666666666,0.011547005383792525,0.8,0.85,0.83,0.86,0.77,0.85,0.8,0.86,264.0,0.06333333333333324,0.86$\pm$0.02,-0.0033333333333332993,0.05999999999999994,0.05666666666666653,0.86$\pm$0.01,-0.006666666666666599,0.04999999999999993
Pleural Effusion,0.6,83,0.422,0.73,0.6,0.68,0.52,0.71,0.6,0.69,0.56,35.0,0.52,0.6,0.45,0.52,0.66,0.6,0.53,0.56,35.0,0.61,0.6,0.53,0.52,0.71,0.6,0.61,0.56,35.0,0.61,0.07999999999999996,0.5533333333333333,0.11676186592091331,0.6933333333333334,0.028867513459481253,0.62,0.10535653752852737,0.43,0.6,0.41,0.52,0.83,0.6,0.55,0.56,35.0,0.05999999999999994,0.61$\pm$0.08,-0.04999999999999993,0.010000000000000009,0.19,0.62$\pm$0.11,-0.020000000000000018,0.16999999999999998
Pleural Effusion,0.8,110,0.336,0.89,0.8,0.84,0.67,0.84,0.8,0.84,0.73,37.0,0.75,0.8,0.58,0.67,0.92,0.8,0.71,0.73,37.0,0.83,0.8,0.67,0.67,0.97,0.8,0.79,0.73,37.0,0.7799999999999999,0.06557438524302002,0.6966666666666667,0.13203534880225573,0.91,0.06557438524302002,0.8233333333333334,0.07023769168568493,0.59,0.8,0.44,0.67,0.81,0.8,0.57,0.73,37.0,0.20999999999999996,0.78$\pm$0.07,-0.04999999999999993,0.16000000000000003,0.2333333333333334,0.82$\pm$0.07,-0.023333333333333317,0.21000000000000008
Pleural Effusion,1.0,307,0.104,0.98,0.97,0.91,0.79,0.91,0.97,0.91,0.87,32.0,0.94,0.97,0.64,0.79,0.91,0.97,0.75,0.87,32.0,0.95,0.97,0.7,0.79,1.0,0.97,0.82,0.87,32.0,0.8266666666666667,0.08020806277010645,0.75,0.14177446878757827,0.9400000000000001,0.0519615242270663,0.9566666666666667,0.020816659994661344,0.82,0.97,0.36,0.79,0.97,0.97,0.53,0.87,32.0,0.29666666666666663,0.83$\pm$0.08,0.043333333333333335,0.33999999999999997,0.13666666666666671,0.96$\pm$0.02,0.013333333333333308,0.15000000000000002
Pleural Effusion,All,500,0.208,0.92,0.87,0.8,0.66,0.82,0.78,0.81,0.72,104.0,0.83,0.87,0.55,0.66,0.83,0.78,0.66,0.72,104.0,0.87,0.87,0.63,0.66,0.89,0.78,0.74,0.72,104.0,0.7366666666666667,0.07505553499465135,0.66,0.12767145334803706,0.8466666666666667,0.03785938897200186,0.8733333333333334,0.045092497528228984,0.7,0.87,0.4,0.66,0.87,0.78,0.55,0.72,104.0,0.18666666666666665,0.74$\pm$0.08,-0.01666666666666672,0.16999999999999993,0.17333333333333345,0.87$\pm$0.05,-0.0033333333333334103,0.17000000000000004
Pneumonia,0.6,24,0.333,0.5,0.6,0.17,0.43,0.12,0.6,0.14,0.5,8.0,0.71,0.6,1.0,0.43,0.12,0.6,0.22,0.5,8.0,0.58,0.6,0.33,0.43,0.25,0.6,0.29,0.5,8.0,0.21666666666666665,0.07505553499465133,0.5,0.44034077712607994,0.16333333333333333,0.07505553499465135,0.5966666666666667,0.10598742063723096,0.71,0.6,0.67,0.43,0.25,0.6,0.36,0.5,8.0,-0.14333333333333334,0.22$\pm$0.08,0.2833333333333333,0.14,-0.11333333333333329,0.60$\pm$0.11,0.0033333333333332993,-0.10999999999999999
Pneumonia,0.8,82,0.012,0.9,0.8,0.11,0.05,1.0,0.8,0.2,0.09,1.0,0.98,0.8,0.33,0.05,1.0,0.8,0.5,0.09,1.0,0.9,0.8,0.11,0.05,1.0,0.8,0.2,0.09,1.0,0.3,0.17320508075688773,0.18333333333333335,0.1270170592217177,1.0,0.0,0.9266666666666666,0.046188021535170036,0.88,0.8,0.0,0.05,0.0,0.8,0.0,0.09,1.0,0.3,0.30$\pm$0.17,-0.21,0.09,0.046666666666666634,0.93$\pm$0.05,-0.1266666666666666,-0.07999999999999996
Pneumonia,1.0,394,0.005,0.98,0.97,0.12,0.14,0.5,0.97,0.2,0.25,2.0,0.99,0.97,0.5,0.14,1.0,0.97,0.67,0.25,2.0,0.97,0.97,0.08,0.14,0.5,0.97,0.14,0.25,2.0,0.3366666666666667,0.2902297940138699,0.2333333333333333,0.2318045153428495,0.6666666666666666,0.28867513459481287,0.98,0.010000000000000009,0.96,0.97,0.07,0.14,0.5,0.97,0.12,0.25,2.0,0.21666666666666673,0.34$\pm$0.29,-0.08666666666666673,0.13,0.020000000000000018,0.98$\pm$0.01,-0.010000000000000009,0.010000000000000009
Pneumonia,All,500,0.022,0.94,0.92,0.13,0.18,0.27,0.69,0.18,0.29,11.0,0.98,0.92,0.5,0.18,0.36,0.69,0.42,0.29,11.0,0.94,0.92,0.15,0.18,0.36,0.69,0.21,0.29,11.0,0.26999999999999996,0.1307669683062202,0.26,0.2080865204668481,0.33,0.0519615242270663,0.9533333333333333,0.023094010767585053,0.94,0.92,0.12,0.18,0.27,0.69,0.16,0.29,11.0,0.10999999999999996,0.27$\pm$0.13,0.020000000000000018,0.12999999999999998,0.013333333333333308,0.95$\pm$0.02,-0.033333333333333215,-0.019999999999999907
Support Devices,0.6,50,0.580,0.62,0.6,0.61,0.67,0.97,0.6,0.75,0.64,29.0,0.68,0.6,0.81,0.67,0.59,0.6,0.68,0.64,29.0,0.72,0.6,0.83,0.67,0.66,0.6,0.73,0.64,29.0,0.7200000000000001,0.03605551275463986,0.75,0.1216552506059644,0.7400000000000001,0.20223748416156684,0.6733333333333333,0.05033222956847166,0.6,0.6,0.6,0.67,0.97,0.6,0.74,0.64,29.0,-0.019999999999999907,0.72$\pm$0.04,-0.08000000000000007,-0.09999999999999998,0.07333333333333336,0.67$\pm$0.05,-0.07333333333333336,0.0
Support Devices,0.8,105,0.705,0.9,0.8,0.9,0.91,0.97,0.8,0.94,0.85,74.0,0.89,0.8,0.97,0.91,0.86,0.8,0.91,0.85,74.0,0.92,0.8,0.97,0.91,0.92,0.8,0.94,0.85,74.0,0.93,0.017320508075688724,0.9466666666666667,0.040414518843273774,0.9166666666666666,0.05507570547286102,0.9033333333333333,0.01527525231651948,0.82,0.8,0.81,0.91,0.97,0.8,0.88,0.85,74.0,0.050000000000000044,0.93$\pm$0.02,-0.08000000000000007,-0.030000000000000027,0.08333333333333337,0.90$\pm$0.02,-0.10333333333333328,-0.019999999999999907
Support Devices,1.0,345,0.458,0.98,0.97,0.96,0.96,0.99,0.97,0.98,0.97,158.0,0.98,0.97,1.0,0.96,0.96,0.97,0.98,0.97,158.0,0.98,0.97,1.0,0.96,0.96,0.97,0.98,0.97,158.0,0.98,0.0,0.9866666666666667,0.023094010767585053,0.9700000000000001,0.01732050807568879,0.98,0.0,0.79,0.97,0.7,0.96,0.94,0.97,0.8,0.97,158.0,0.17999999999999994,0.98$\pm$0.00,-0.010000000000000009,0.16999999999999993,0.18999999999999995,0.98$\pm$0.00,-0.010000000000000009,0.17999999999999994
Support Devices,All,500,0.522,0.93,0.9,0.89,0.92,0.98,0.88,0.93,0.9,261.0,0.93,0.9,0.97,0.92,0.89,0.88,0.93,0.9,261.0,0.94,0.9,0.98,0.92,0.92,0.88,0.94,0.9,261.0,0.9333333333333332,0.005773502691896198,0.9466666666666667,0.04932882862316246,0.93,0.04582575694955838,0.9333333333333332,0.005773502691896198,0.78,0.9,0.71,0.92,0.95,0.88,0.82,0.9,261.0,0.11333333333333329,0.93$\pm$0.01,-0.033333333333333215,0.08000000000000007,0.1533333333333332,0.93$\pm$0.01,-0.033333333333333215,0.12
